r2,features,time needed
0.11405416945694791,['bigRoad_50m'],325.75784158706665
0.35575585738389304,['bigRoad_50m'],289.9480335712433
0.0,[],82.17488288879395
0.0,[],83.37169313430786
0.0,[],89.93039584159851
0.45445458894954804,"['bigRoad_50m', 'residential_1400m', 'traffic_signals']",937.1519157886505
0.0,[],85.35670614242554
0.0,[],84.55976390838623
0.0,[],81.26528882980347
0.0,[],83.7463047504425
0.0,[],81.44983553886414
0.0,[],83.57742214202881
0.0,[],83.57773518562317
0.0,[],103.5608263015747
0.0,[],105.77319812774658
0.0,[],112.62163090705872
0.5122209554635803,"['bigRoad_50m', 'residential_1600m']",621.2189574241638
0.02489600962359384,['bigRoad_50m'],385.3999366760254
0.0,[],102.41892647743225
0.0,[],113.29966115951538
0.38967535906713746,['bigRoad_50m'],259.66264390945435
0.0,[],84.495689868927
0.0,[],85.91421484947205
0.004253633324616479,['bigRoad_50m'],262.0586681365967
0.0,[],75.76225924491882
0.29013680154724486,['bigRoad_50m'],263.03424525260925
0.0,[],75.8954074382782
0.0,[],75.42616271972656
0.0,[],75.54708433151245
0.47794081139991895,"['bigRoad_50m', 'bigRoad_200m', 'smallRoad_1350m', 'residential_1600m', 'traffic_signals']",1628.6796078681946
0.0,[],75.21092462539673
0.3114086133290025,['bigRoad_50m'],258.4863312244415
0.0,[],75.12339735031128
0.0,[],75.43180847167969
0.0,[],75.12850308418274
0.19277775003919828,['bigRoad_50m'],253.40183901786804
0.2969689432671617,['bigRoad_50m'],249.09376049041748
0.0,[],76.2046766281128
0.0,[],75.44015598297119
0.41809939714805244,"['bigRoad_50m', 'residential_1750m', 'traffic_signals']",822.5280141830444
