r2,features,time needed
0.0,[],36.60119652748108
0.0,[],35.67967224121094
0.0,[],35.487980365753174
0.0,[],35.38608431816101
0.0,[],35.56732392311096
0.0,[],35.5978057384491
0.0,[],35.578996658325195
0.0,[],34.97824239730835
0.2451731074351582,['residential_2450m'],227.38459491729736
0.0,[],35.457072734832764
0.0,[],35.408313512802124
0.0,[],35.17206883430481
0.0,[],35.89561438560486
0.0,[],27.2468421459198
0.0,[],33.965885400772095
0.0,[],35.97242045402527
0.0,[],35.936798334121704
0.0,[],35.588364601135254
0.0,[],35.90001440048218
0.31124056754658125,['residential_1250m'],222.68787813186646
0.0,[],35.590641498565674
0.0,[],35.5890634059906
0.0,[],36.025638818740845
0.0,[],36.42620539665222
0.0,[],35.957599401474
0.0,[],35.98388600349426
0.0,[],35.23243188858032
0.0,[],35.30748987197876
0.0,[],35.738102436065674
0.0,[],36.0108687877655
0.0,[],36.0634400844574
0.0,[],35.539265394210815
0.0,[],35.5158965587616
0.0,[],36.42644166946411
0.0,[],35.35841202735901
0.0,[],35.29381346702576
0.0,[],35.34929180145264
0.0,[],35.91978073120117
0.0,[],36.55714964866638
0.0,[],35.577664613723755
